"","Parameter","est_un","CI_un","est_emp","CI_emp","D_est","D_CI"
"258","PHYS.ON.GREEN","-0.31**","[-0.53, -0.09]","-0.08","[-0.22,  0.06]","0.23","[-0.03,  0.49]"
"260","PHYS.ON.HOUS2C","0.12","[-0.12,  0.36]","0.00","[-0.17,  0.17]","-0.12","[-0.41,  0.18]"
"262","PHYS.ON.HOUSO","0.04","[-0.25,  0.33]","-0.16","[-0.36,  0.05]","-0.20","[-0.55,  0.16]"
"264","PHYS.ON.HOUSSP","-0.13","[-0.55,  0.29]","-0.09","[-0.40,  0.22]","0.04","[-0.47,  0.56]"
"266","PHYS.ON.INC2","-0.13","[-0.47,  0.21]","-0.19","[-0.53,  0.15]","-0.06","[-0.54,  0.42]"
"268","PHYS.ON.INC3","-0.27","[-0.60,  0.06]","-0.20","[-0.52,  0.11]","0.07","[-0.39,  0.53]"
"270","PHYS.ON.INC4","0.11","[-0.23,  0.44]","-0.23","[-0.53,  0.07]","-0.34","[-0.79,  0.12]"
"272","PHYS.ON.INC5","0.01","[-0.29,  0.32]","-0.14","[-0.44,  0.15]","-0.16","[-0.59,  0.28]"
"274","PHYS.ON.MARN","-0.12","[-0.43,  0.19]","0.08","[-0.10,  0.27]","0.20","[-0.15,  0.56]"
"276","PHYS.ON.MARS","-0.19","[-0.58,  0.20]","0.14","[-0.13,  0.41]","0.33","[-0.15,  0.81]"
"278","PHYS.ON.MARW","0.20","[-0.49,  0.89]","0.72*","[ 0.08,  1.36]","0.52","[-0.43,  1.47]"
"280","PHYS.ON.NOI","0.04","[-0.11,  0.18]","0.02","[-0.09,  0.13]","-0.02","[-0.20,  0.16]"
"282","PHYS.ON.PLEA","-0.06","[-0.30,  0.18]","0.08","[-0.10,  0.27]","0.14","[-0.17,  0.45]"
"284","PHYS.ON.SAFE","-0.12","[-0.29,  0.04]","-0.15*","[-0.28, -0.02]","-0.03","[-0.24,  0.19]"
"286","PHYS.ON.URB","-0.08","[-0.17,  0.01]","-0.08*","[-0.15, -0.02]","-0.00","[-0.11,  0.11]"
"288","PLEA.BY.PPLEA1","0.35***","[ 0.33,  0.37]","0.35***","[ 0.33,  0.37]",,
"290","PLEA.BY.PPLEA2","0.52***","[ 0.50,  0.55]","0.52***","[ 0.50,  0.55]",,
"292","PLEA.WITH.COH","0.56***","[ 0.51,  0.61]","0.64***","[ 0.60,  0.68]",,
"294","PPHQ4.WITH.PPHQ3","0.07***","[ 0.06,  0.08]","0.07***","[ 0.06,  0.08]",,
"296","PSS.BY.PPSS1","0.60***","[ 0.58,  0.62]","0.60***","[ 0.58,  0.62]",,
"298","PSS.BY.PPSS2","0.59***","[ 0.57,  0.61]","0.59***","[ 0.57,  0.61]",,
"300","PSS.BY.PPSS3","0.56***","[ 0.54,  0.58]","0.56***","[ 0.54,  0.58]",,
"302","PSS.BY.PPSS4","0.59***","[ 0.57,  0.60]","0.59***","[ 0.57,  0.60]",,
"304","PSS.BY.PPSS5","0.63***","[ 0.61,  0.65]","0.63***","[ 0.61,  0.65]",,
"306","PSS.ON.AGE","-0.01***","[-0.01, -0.01]","-0.01***","[-0.02, -0.01]","-0.00","[-0.01,  0.00]"
"308","PSS.ON.BLUE","-0.01","[-0.18,  0.15]","-0.05","[-0.11,  0.01]","-0.04","[-0.21,  0.14]"
"310","PSS.ON.COH","-0.26***","[-0.36, -0.17]","-0.14***","[-0.20, -0.07]","0.13*","[ 0.01,  0.24]"
"312","PSS.ON.DEP","0.02","[-0.12,  0.17]","-0.10*","[-0.20, -0.01]","-0.12","[-0.28,  0.04]"
"314","PSS.ON.EDUH","-0.42***","[-0.56, -0.27]","-0.32***","[-0.41, -0.22]","0.10","[-0.07,  0.28]"
"316","PSS.ON.EDUM","-0.24**","[-0.38, -0.10]","-0.14**","[-0.24, -0.04]","0.10","[-0.06,  0.26]"
"318","PSS.ON.FRAG","-0.02","[-0.05,  0.00]","-0.01","[-0.03,  0.01]","0.01","[-0.02,  0.04]"
"320","PSS.ON.GREEN","0.08","[-0.09,  0.26]","0.04","[-0.02,  0.09]","-0.05","[-0.23,  0.14]"
"322","PSS.ON.HOUS2C","-0.07","[-0.19,  0.05]","-0.06","[-0.13,  0.02]","0.01","[-0.13,  0.15]"
"324","PSS.ON.HOUSO","-0.03","[-0.18,  0.13]","-0.13**","[-0.22, -0.04]","-0.11","[-0.29,  0.07]"
"326","PSS.ON.HOUSSP","0.02","[-0.21,  0.26]","-0.08","[-0.22,  0.07]","-0.10","[-0.37,  0.17]"
"328","PSS.ON.INC2","-0.04","[-0.21,  0.12]","0.06","[-0.09,  0.22]","0.11","[-0.12,  0.33]"
"330","PSS.ON.INC3","-0.04","[-0.21,  0.13]","-0.02","[-0.16,  0.11]","0.02","[-0.19,  0.23]"
"332","PSS.ON.INC4","-0.08","[-0.26,  0.09]","-0.02","[-0.16,  0.12]","0.06","[-0.15,  0.28]"
"334","PSS.ON.INC5","-0.35***","[-0.52, -0.18]","-0.13","[-0.27,  0.00]","0.22*","[ 0.01,  0.43]"
"336","PSS.ON.MARN","0.13","[-0.02,  0.28]","0.07","[-0.01,  0.15]","-0.06","[-0.21,  0.10]"
"338","PSS.ON.MARS","0.45***","[ 0.25,  0.66]","0.21**","[ 0.09,  0.33]","-0.24","[-0.49,  0.00]"
"340","PSS.ON.MARW","0.21","[-0.26,  0.68]","0.39*","[ 0.08,  0.70]","0.18","[-0.39,  0.74]"
"342","PSS.ON.NOI","0.15***","[ 0.07,  0.24]","0.12***","[ 0.07,  0.17]","-0.03","[-0.13,  0.06]"
"344","PSS.ON.PLEA","0.19*","[ 0.03,  0.35]","0.02","[-0.06,  0.09]","-0.17","[-0.36,  0.01]"
"346","PSS.ON.SAFE","-0.20***","[-0.32, -0.09]","-0.17***","[-0.23, -0.11]","0.03","[-0.10,  0.16]"
"348","PSS.ON.URB","0.05*","[ 0.01,  0.10]","0.00","[-0.02,  0.03]","-0.05","[-0.10,  0.01]"
"350","PSS.WITH.PHYS","-0.22***","[-0.33, -0.11]","-0.09*","[-0.18, -0.01]",,
"352","Residual.Variances.BEACH","0.29***","[ 0.24,  0.34]","0.26***","[ 0.22,  0.30]",,
"354","Residual.Variances.INSIDE","0.18***","[ 0.15,  0.22]","0.14***","[ 0.12,  0.17]",,
"356","Residual.Variances.LAKE","0.52***","[ 0.43,  0.60]","0.46***","[ 0.38,  0.54]",,
"358","Residual.Variances.OUTSIDE","0.25***","[ 0.22,  0.28]","0.23***","[ 0.21,  0.25]",,
"360","Residual.Variances.PCOH1","0.20***","[ 0.17,  0.22]","0.20***","[ 0.18,  0.21]",,
"362","Residual.Variances.PCOH2","0.14***","[ 0.12,  0.17]","0.14***","[ 0.12,  0.16]",,
"364","Residual.Variances.PCOH3","0.40***","[ 0.36,  0.44]","0.32***","[ 0.30,  0.35]",,
"366","Residual.Variances.PGREEN1","0.23***","[ 0.20,  0.27]","0.21***","[ 0.18,  0.23]",,
"368","Residual.Variances.PGREEN2","0.30***","[ 0.27,  0.34]","0.28***","[ 0.26,  0.30]",,
"370","Residual.Variances.PHQ","1.00","","1.00","",,
"372","Residual.Variances.PHYS","4.62***","[ 4.39,  4.84]","4.76***","[ 4.61,  4.92]",,
"374","Residual.Variances.PPHQ1","0.13***","[ 0.12,  0.15]","0.07***","[ 0.06,  0.08]",,
"376","Residual.Variances.PPHQ2","0.14***","[ 0.12,  0.15]","0.09***","[ 0.08,  0.10]",,
"378","Residual.Variances.PPHQ3","0.38***","[ 0.35,  0.41]","0.33***","[ 0.31,  0.35]",,
"380","Residual.Variances.PPHQ4","0.25***","[ 0.23,  0.27]","0.20***","[ 0.19,  0.22]",,
"382","Residual.Variances.PPHQ5","0.34***","[ 0.31,  0.38]","0.30***","[ 0.28,  0.33]",,
"384","Residual.Variances.PPLEA1","0.25***","[ 0.23,  0.27]","0.22***","[ 0.20,  0.23]",,
"386","Residual.Variances.PPLEA2","0.15***","[ 0.13,  0.18]","0.16***","[ 0.14,  0.18]",,
"388","Residual.Variances.PPSS1","0.25***","[ 0.23,  0.27]","0.24***","[ 0.22,  0.26]",,
"390","Residual.Variances.PPSS2","0.21***","[ 0.19,  0.23]","0.18***","[ 0.17,  0.20]",,
"392","Residual.Variances.PPSS3","0.22***","[ 0.20,  0.24]","0.18***","[ 0.17,  0.20]",,
"394","Residual.Variances.PPSS4","0.18***","[ 0.16,  0.19]","0.17***","[ 0.16,  0.18]",,
"396","Residual.Variances.PPSS5","0.29***","[ 0.26,  0.32]","0.26***","[ 0.24,  0.28]",,
"398","Residual.Variances.PSAFE1","0.12***","[ 0.11,  0.14]","0.12***","[ 0.11,  0.13]",,
"400","Residual.Variances.PSAFE2","0.17***","[ 0.16,  0.19]","0.15***","[ 0.14,  0.16]",,
"402","Residual.Variances.PSAFE3","0.20***","[ 0.18,  0.22]","0.19***","[ 0.17,  0.20]",,
"404","Residual.Variances.PSS","1.00","","1.00","",,
"406","Residual.Variances.RIVER","0.76***","[ 0.70,  0.82]","0.78***","[ 0.72,  0.83]",,
"408","Residual.Variances.TRAFFIC","0.50***","[ 0.47,  0.53]","0.52***","[ 0.50,  0.54]",,
"410","SAFE.BY.PSAFE1","0.54***","[ 0.52,  0.55]","0.54***","[ 0.52,  0.55]",,
"412","SAFE.BY.PSAFE2","0.45***","[ 0.43,  0.47]","0.45***","[ 0.43,  0.47]",,
"414","SAFE.BY.PSAFE3","0.42***","[ 0.41,  0.44]","0.42***","[ 0.41,  0.44]",,
"416","SAFE.BY.TRAFFIC","-0.34***","[-0.36, -0.31]","-0.34***","[-0.36, -0.31]",,
"418","SAFE.WITH.COH","0.41***","[ 0.36,  0.46]","0.47***","[ 0.42,  0.51]",,
"420","SAFE.WITH.PLEA","0.64***","[ 0.59,  0.69]","0.67***","[ 0.63,  0.70]",,
"422","Specific.indirect.BLUE.PHYS.PHQ","-0.00","[-0.01,  0.01]","0.00","[-0.00,  0.01]",,
"424","Specific.indirect.BLUE.PSS.PHQ","-0.02","[-0.28,  0.23]","-0.06","[-0.12,  0.01]",,
"426","Specific.indirect.COH.PHYS.PHQ","-0.01","[-0.02,  0.00]","-0.00","[-0.01,  0.00]",,
"428","Specific.indirect.COH.PSS.PHQ","-0.41***","[-0.55, -0.26]","-0.15***","[-0.22, -0.08]",,
"430","Specific.indirect.GREEN.PHYS.PHQ","0.01","[-0.00,  0.03]","0.00","[-0.00,  0.01]",,
"432","Specific.indirect.GREEN.PSS.PHQ","0.12","[-0.14,  0.39]","0.04","[-0.03,  0.10]",,
"434","Specific.indirect.NOI.PHYS.PHQ","-0.00","[-0.01,  0.00]","-0.00","[-0.00,  0.00]",,
"436","Specific.indirect.NOI.PSS.PHQ","0.24***","[ 0.11,  0.37]","0.13***","[ 0.08,  0.19]",,
"438","Specific.indirect.PLEA.PHYS.PHQ","0.00","[-0.01,  0.01]","-0.00","[-0.01,  0.00]",,
"440","Specific.indirect.PLEA.PSS.PHQ","0.29*","[ 0.04,  0.55]","0.02","[-0.07,  0.10]",,
"442","Specific.indirect.SAFE.PHYS.PHQ","0.01","[-0.00,  0.01]","0.01*","[ 0.00,  0.01]",,
"444","Specific.indirect.SAFE.PSS.PHQ","-0.31**","[-0.49, -0.13]","-0.19***","[-0.26, -0.12]",,
"446","Sum.of.indirect.PHQ.BLUE","-0.02","[-0.28,  0.23]","-0.05","[-0.12,  0.01]",,
"448","Sum.of.indirect.PHQ.COH","-0.41***","[-0.57, -0.26]","-0.15***","[-0.22, -0.09]",,
"450","Sum.of.indirect.PHQ.GREEN","0.14","[-0.13,  0.41]","0.04","[-0.02,  0.11]",,
"452","Sum.of.indirect.PHQ.NOI","0.24***","[ 0.11,  0.37]","0.13***","[ 0.08,  0.19]",,
"454","Sum.of.indirect.PHQ.PLEA","0.30*","[ 0.04,  0.55]","0.01","[-0.07,  0.10]",,
"456","Sum.of.indirect.PHQ.SAFE","-0.31**","[-0.49, -0.13]","-0.18***","[-0.25, -0.12]",,
"458","Variances.BLUE","1.00","","1.00","",,
"460","Variances.COH","1.00","","1.00","",,
"462","Variances.GREEN","1.00","","1.00","",,
"464","Variances.NOI","1.00","","1.00","",,
"466","Variances.PLEA","1.00","","1.00","",,
"468","Variances.SAFE","1.00","","1.00","",,
"469","Total.PHQ.BLUE","-0.08","[-0.40,  0.23]","-0.08","[-0.17,  0.01]",,
"471","Total.PHQ.COH","-0.49***","[-0.68, -0.29]","-0.23***","[-0.32, -0.14]",,
"473","Total.PHQ.GREEN","0.12","[-0.21,  0.46]","0.09","[-0.00,  0.18]",,
"475","Total.PHQ.NOI","0.31***","[ 0.15,  0.48]","0.23***","[ 0.15,  0.31]",,
"477","Total.PHQ.PLEA","0.13","[-0.20,  0.46]","0.06","[-0.06,  0.17]",,
"479","Total.PHQ.SAFE","-0.10","[-0.32,  0.11]","-0.14**","[-0.24, -0.05]",,
