"","Parameter","est_un","CI_un","est_emp","CI_emp","D_est","D_CI"
"180","Residual.Variances.PHYS","4.54***","[ 4.33,  4.74]","4.46***","[ 4.15,  4.78]",,
"181","Residual.Variances.PSS","1.00","","1.00","",,
"182","Residual.Variances.PHQ","1.00","","1.00","",,
"433","Sum.of.indirect.PHQ.NOI","0.07","[-0.01,  0.15]","0.28**","[ 0.09,  0.48]",,
"434","Sum.of.indirect.PHQ.PLEA","0.01","[-0.11,  0.12]","0.32","[-0.04,  0.68]",,
"435","Sum.of.indirect.PHQ.SAFE","-0.23***","[-0.33, -0.14]","-0.29*","[-0.55, -0.03]",,
"436","Sum.of.indirect.PHQ.COH","-0.19***","[-0.28, -0.10]","-0.44***","[-0.66, -0.21]",,
"437","Sum.of.indirect.PHQ.GREEN","0.00","[-0.10,  0.11]","0.30","[-0.10,  0.71]",,
"438","Sum.of.indirect.PHQ.BLUE","-0.03","[-0.12,  0.07]","-0.20","[-0.60,  0.20]",,
"445","Specific.indirect.NOI.PSS.PHQ","0.07","[-0.01,  0.15]","0.29**","[ 0.10,  0.48]",,
"446","Specific.indirect.NOI.PHYS.PHQ","-0.00","[-0.01,  0.00]","-0.00","[-0.02,  0.01]",,
"447","Specific.indirect.PLEA.PSS.PHQ","0.01","[-0.11,  0.12]","0.32","[-0.04,  0.68]",,
"448","Specific.indirect.PLEA.PHYS.PHQ","-0.00","[-0.01,  0.01]","-0.00","[-0.01,  0.01]",,
"449","Specific.indirect.SAFE.PSS.PHQ","-0.24***","[-0.33, -0.14]","-0.29*","[-0.55, -0.04]",,
"450","Specific.indirect.SAFE.PHYS.PHQ","0.00","[-0.00,  0.01]","0.00","[-0.01,  0.02]",,
"451","Specific.indirect.COH.PSS.PHQ","-0.18***","[-0.28, -0.09]","-0.43***","[-0.65, -0.21]",,
"452","Specific.indirect.COH.PHYS.PHQ","-0.01","[-0.01,  0.00]","-0.01","[-0.02,  0.01]",,
"453","Specific.indirect.GREEN.PSS.PHQ","-0.00","[-0.10,  0.10]","0.30","[-0.11,  0.70]",,
"454","Specific.indirect.GREEN.PHYS.PHQ","0.00","[-0.00,  0.01]","0.01","[-0.01,  0.02]",,
"455","Specific.indirect.BLUE.PSS.PHQ","-0.03","[-0.13,  0.07]","-0.20","[-0.60,  0.19]",,
"456","Specific.indirect.BLUE.PHYS.PHQ","0.00","[-0.01,  0.01]","0.00","[-0.01,  0.01]",,
