"","Parameter","est_un","CI_un","est_emp","CI_emp","D_est","D_CI"
"58","PSS.ON.DEP","-0.02","[-0.07,  0.02]","0.03","[-0.05,  0.10]","0.14","[-0.10,  0.38]"
"59","PSS.ON.FRAG","-0.01","[-0.06,  0.04]","-0.03","[-0.12,  0.05]","-0.01","[-0.06,  0.04]"
"60","PSS.ON.AGE","-0.13***","[-0.17, -0.08]","-0.17***","[-0.25, -0.09]","0.00","[-0.01,  0.01]"
"61","PSS.ON.URB","-0.04","[-0.09,  0.01]","0.10*","[ 0.01,  0.18]","0.11**","[ 0.03,  0.19]"
"62","PSS.ON.EDUM","-0.06","[-0.12,  0.01]","-0.08*","[-0.17, -0.00]","-0.07","[-0.31,  0.17]"
"63","PSS.ON.EDUH","-0.13***","[-0.19, -0.06]","-0.20***","[-0.29, -0.12]","-0.27*","[-0.53, -0.01]"
"64","PSS.ON.INC2","0.06","[-0.00,  0.11]","0.06","[-0.01,  0.13]","-0.00","[-0.30,  0.29]"
"65","PSS.ON.INC3","0.04","[-0.03,  0.11]","0.02","[-0.06,  0.11]","-0.04","[-0.33,  0.25]"
"66","PSS.ON.INC4","0.03","[-0.04,  0.10]","0.01","[-0.07,  0.09]","-0.04","[-0.32,  0.24]"
"67","PSS.ON.INC5","-0.03","[-0.10,  0.04]","-0.04","[-0.12,  0.04]","-0.06","[-0.34,  0.22]"
"68","PSS.ON.HOUS2C","-0.01","[-0.06,  0.04]","-0.03","[-0.10,  0.04]","-0.06","[-0.26,  0.15]"
"69","PSS.ON.HOUSSP","0.00","[-0.04,  0.04]","-0.03","[-0.10,  0.04]","-0.17","[-0.55,  0.21]"
"70","PSS.ON.HOUSO","-0.05*","[-0.10, -0.01]","0.00","[-0.07,  0.08]","0.17","[-0.09,  0.42]"
"71","PSS.ON.MARS","0.07**","[ 0.02,  0.11]","0.15***","[ 0.07,  0.23]","0.28","[-0.07,  0.63]"
"72","PSS.ON.MARW","0.04","[-0.01,  0.08]","0.05","[-0.03,  0.13]","0.06","[-0.80,  0.91]"
"73","PSS.ON.MARN","0.02","[-0.03,  0.08]","0.02","[-0.07,  0.12]","0.01","[-0.22,  0.24]"
"74","PHYS.ON.NOI","0.03","[-0.03,  0.09]","0.08","[-0.01,  0.18]","0.11","[-0.13,  0.35]"
"75","PHYS.ON.PLEA","0.01","[-0.10,  0.12]","0.04","[-0.11,  0.18]","0.06","[-0.35,  0.46]"
"76","PHYS.ON.SAFE","-0.03","[-0.11,  0.05]","-0.07","[-0.18,  0.04]","-0.08","[-0.38,  0.21]"
"77","PHYS.ON.COH","0.08","[-0.00,  0.16]","0.09","[-0.02,  0.20]","0.02","[-0.27,  0.32]"
"78","PHYS.ON.GREEN","-0.04","[-0.13,  0.05]","-0.10","[-0.24,  0.04]","-0.12","[-0.48,  0.24]"
"79","PHYS.ON.BLUE","-0.02","[-0.11,  0.07]","-0.02","[-0.16,  0.11]","-0.01","[-0.37,  0.35]"
"80","PHYS.ON.DEP","0.05","[-0.00,  0.09]","-0.05","[-0.13,  0.03]","-0.53*","[-1.04, -0.02]"
"81","PHYS.ON.FRAG","0.07*","[ 0.01,  0.13]","0.07","[-0.01,  0.16]","0.00","[-0.08,  0.08]"
"82","PHYS.ON.AGE","0.12***","[ 0.06,  0.17]","0.12*","[ 0.02,  0.23]","-0.00","[-0.02,  0.01]"
"83","PHYS.ON.URB","-0.04","[-0.09,  0.02]","-0.04","[-0.13,  0.04]","-0.01","[-0.16,  0.14]"
"84","PHYS.ON.EDUM","-0.03","[-0.09,  0.03]","0.04","[-0.05,  0.13]","0.32","[-0.14,  0.79]"
"85","PHYS.ON.EDUH","-0.07*","[-0.13, -0.00]","0.04","[-0.05,  0.12]","0.48","[-0.02,  0.99]"
"86","PHYS.ON.INC2","-0.06","[-0.12,  0.01]","0.01","[-0.07,  0.09]","0.42","[-0.24,  1.09]"
"87","PHYS.ON.INC3","-0.08*","[-0.16, -0.01]","-0.02","[-0.10,  0.06]","0.30","[-0.31,  0.91]"
"88","PHYS.ON.INC4","-0.06","[-0.14,  0.01]","0.03","[-0.06,  0.11]","0.46","[-0.14,  1.07]"
"89","PHYS.ON.INC5","-0.07","[-0.15,  0.02]","0.02","[-0.06,  0.10]","0.42","[-0.15,  0.99]"
"90","PHYS.ON.HOUS2C","-0.02","[-0.07,  0.03]","0.06","[-0.01,  0.14]","0.40","[-0.02,  0.82]"
"91","PHYS.ON.HOUSSP","-0.01","[-0.05,  0.03]","-0.03","[-0.10,  0.03]","-0.20","[-0.91,  0.51]"
"92","PHYS.ON.HOUSO","-0.04","[-0.08,  0.01]","0.04","[-0.03,  0.11]","0.43","[-0.06,  0.91]"
"93","PHYS.ON.MARS","0.01","[-0.04,  0.06]","-0.01","[-0.09,  0.08]","-0.13","[-0.80,  0.54]"
"94","PHYS.ON.MARW","0.07**","[ 0.03,  0.11]","0.01","[-0.05,  0.08]","-1.20","[-2.67,  0.28]"
"95","PHYS.ON.MARN","0.04","[-0.02,  0.09]","-0.04","[-0.15,  0.06]","-0.34","[-0.85,  0.17]"
"96","PSS.WITH.PHYS","-0.02","[-0.07,  0.03]","-0.11**","[-0.18, -0.03]",,
"97","PLEA.WITH.COH","0.67***","[ 0.62,  0.72]","0.53***","[ 0.45,  0.61]",,
"98","SAFE.WITH.COH","0.47***","[ 0.42,  0.53]","0.38***","[ 0.32,  0.45]",,
"99","SAFE.WITH.PLEA","0.67***","[ 0.62,  0.72]","0.62***","[ 0.54,  0.70]",,
"100","GREEN.WITH.COH","-0.17***","[-0.24, -0.11]","-0.01","[-0.10,  0.08]",,
"101","GREEN.WITH.PLEA","-0.21***","[-0.29, -0.14]","-0.14*","[-0.25, -0.03]",,
"102","GREEN.WITH.SAFE","-0.17***","[-0.24, -0.11]","-0.12*","[-0.21, -0.02]",,
"103","BLUE.WITH.COH","-0.05","[-0.12,  0.02]","-0.03","[-0.13,  0.06]",,
"104","BLUE.WITH.PLEA","-0.12**","[-0.20, -0.04]","-0.09","[-0.20,  0.02]",,
"105","BLUE.WITH.SAFE","-0.09*","[-0.16, -0.02]","-0.12*","[-0.22, -0.02]",,
"106","BLUE.WITH.GREEN","0.60***","[ 0.52,  0.68]","0.57***","[ 0.45,  0.69]",,
"107","NOI.WITH.COH","-0.46***","[-0.51, -0.40]","-0.47***","[-0.55, -0.40]",,
"108","NOI.WITH.PLEA","-0.50***","[-0.55, -0.44]","-0.42***","[-0.51, -0.34]",,
"109","NOI.WITH.SAFE","-0.40***","[-0.46, -0.34]","-0.34***","[-0.42, -0.26]",,
"110","NOI.WITH.GREEN","0.11**","[ 0.04,  0.19]","0.01","[-0.09,  0.10]",,
"111","NOI.WITH.BLUE","0.07","[-0.00,  0.14]","0.05","[-0.06,  0.15]",,
"112","PPHQ4.WITH.PPHQ3","0.29***","[ 0.25,  0.34]","0.24***","[ 0.19,  0.29]",,
"113","Means.COH","0.00","","0.00","",,
"114","Means.PLEA","0.00","","0.00","",,
"115","Means.SAFE","0.00","","0.00","",,
"116","Means.GREEN","0.00","","0.00","",,
"117","Means.BLUE","0.00","","0.00","",,
"118","Means.NOI","0.00","","0.00","",,
"119","Intercepts.PCOH1","4.51***","[ 4.34,  4.68]","4.46***","[ 4.28,  4.65]",,
"120","Intercepts.PCOH2","5.09***","[ 4.92,  5.27]","5.00***","[ 4.80,  5.21]",,
"121","Intercepts.PCOH3","5.05***","[ 4.85,  5.25]","4.67***","[ 4.45,  4.90]",,
"122","Intercepts.PPSS1","2.51***","[ 2.31,  2.71]","2.42***","[ 2.21,  2.63]",,
"123","Intercepts.PPSS2","2.72***","[ 2.51,  2.94]","2.55***","[ 2.33,  2.76]",,
"124","Intercepts.PPSS3","3.05***","[ 2.83,  3.26]","2.85***","[ 2.63,  3.06]",,
"125","Intercepts.PPSS4","3.29***","[ 3.07,  3.51]","3.16***","[ 2.93,  3.39]",,
"126","Intercepts.PPSS5","2.09***","[ 1.89,  2.30]","1.98***","[ 1.78,  2.18]",,
"127","Intercepts.PPHQ1","1.20***","[ 0.94,  1.45]","0.86***","[ 0.67,  1.05]",,
"128","Intercepts.PPHQ2","1.16***","[ 0.92,  1.41]","0.88***","[ 0.69,  1.07]",,
"129","Intercepts.PPHQ3","1.75***","[ 1.55,  1.96]","1.46***","[ 1.28,  1.63]",,
"130","Intercepts.PPHQ4","1.34***","[ 1.13,  1.56]","1.10***","[ 0.91,  1.28]",,
"131","Intercepts.PPHQ5","1.36***","[ 1.16,  1.55]","1.12***","[ 0.95,  1.30]",,
"132","Intercepts.PPLEA1","5.64***","[ 5.44,  5.85]","5.44***","[ 5.14,  5.73]",,
"133","Intercepts.PPLEA2","4.89***","[ 4.69,  5.08]","4.95***","[ 4.72,  5.18]",,
"134","Intercepts.PSAFE1","4.86***","[ 4.70,  5.02]","4.84***","[ 4.66,  5.02]",,
"135","Intercepts.PSAFE2","5.48***","[ 5.28,  5.67]","5.22***","[ 5.00,  5.44]",,
"136","Intercepts.PSAFE3","5.57***","[ 5.32,  5.81]","5.42***","[ 5.15,  5.69]",,
"137","Intercepts.PGREEN1","3.56***","[ 3.43,  3.69]","3.45***","[ 3.30,  3.60]",,
"138","Intercepts.PGREEN2","2.94***","[ 2.86,  3.02]","2.87***","[ 2.74,  2.99]",,
"139","Intercepts.RIVER","2.74***","[ 2.64,  2.84]","2.73***","[ 2.61,  2.84]",,
"140","Intercepts.LAKE","2.80***","[ 2.71,  2.90]","2.75***","[ 2.63,  2.86]",,
"141","Intercepts.BEACH","7.45***","[ 6.57,  8.33]","7.04***","[ 6.00,  8.08]",,
"142","Intercepts.TRAFFIC","2.80***","[ 2.72,  2.88]","2.92***","[ 2.81,  3.03]",,
"143","Intercepts.INSIDE","2.23***","[ 2.17,  2.30]","2.13***","[ 2.05,  2.21]",,
"144","Intercepts.OUTSIDE","2.44***","[ 2.37,  2.51]","2.39***","[ 2.30,  2.48]",,
"145","Intercepts.PHYS","2.00***","[ 1.65,  2.34]","2.27***","[ 1.80,  2.74]",,
"146","Intercepts.PSS","0.00","","0.00","",,
"147","Intercepts.PHQ","0.00","","0.00","",,
"148","Variances.COH","1.00","","1.00","",,
"149","Variances.PLEA","1.00","","1.00","",,
"150","Variances.SAFE","1.00","","1.00","",,
"151","Variances.GREEN","1.00","","1.00","",,
"152","Variances.BLUE","1.00","","1.00","",,
"153","Variances.NOI","1.00","","1.00","",,
"154","Residual.Variances.PCOH1","0.31***","[ 0.27,  0.35]","0.32***","[ 0.28,  0.37]",,
"155","Residual.Variances.PCOH2","0.24***","[ 0.20,  0.27]","0.26***","[ 0.21,  0.31]",,
"156","Residual.Variances.PCOH3","0.48***","[ 0.44,  0.52]","0.55***","[ 0.51,  0.60]",,
"157","Residual.Variances.PPSS1","0.35***","[ 0.32,  0.39]","0.33***","[ 0.29,  0.37]",,
"158","Residual.Variances.PPSS2","0.32***","[ 0.29,  0.35]","0.33***","[ 0.29,  0.38]",,
"159","Residual.Variances.PPSS3","0.34***","[ 0.31,  0.37]","0.35***","[ 0.32,  0.39]",,
"160","Residual.Variances.PPSS4","0.30***","[ 0.27,  0.33]","0.28***","[ 0.25,  0.31]",,
"161","Residual.Variances.PPSS5","0.37***","[ 0.34,  0.40]","0.37***","[ 0.33,  0.41]",,
"162","Residual.Variances.PPHQ1","0.28***","[ 0.25,  0.32]","0.35***","[ 0.30,  0.40]",,
"163","Residual.Variances.PPHQ2","0.34***","[ 0.30,  0.38]","0.34***","[ 0.29,  0.39]",,
"164","Residual.Variances.PPHQ3","0.55***","[ 0.51,  0.59]","0.46***","[ 0.41,  0.50]",,
"165","Residual.Variances.PPHQ4","0.48***","[ 0.44,  0.53]","0.40***","[ 0.35,  0.44]",,
"166","Residual.Variances.PPHQ5","0.57***","[ 0.52,  0.62]","0.48***","[ 0.43,  0.53]",,
"167","Residual.Variances.PPLEA1","0.66***","[ 0.62,  0.71]","0.69***","[ 0.64,  0.74]",,
"168","Residual.Variances.PPLEA2","0.37***","[ 0.31,  0.43]","0.35***","[ 0.29,  0.42]",,
"169","Residual.Variances.PSAFE1","0.28***","[ 0.24,  0.32]","0.29***","[ 0.24,  0.34]",,
"170","Residual.Variances.PSAFE2","0.44***","[ 0.39,  0.48]","0.49***","[ 0.44,  0.53]",,
"171","Residual.Variances.PSAFE3","0.49***","[ 0.44,  0.53]","0.51***","[ 0.46,  0.57]",,
"172","Residual.Variances.PGREEN1","0.53***","[ 0.45,  0.61]","0.56***","[ 0.48,  0.64]",,
"173","Residual.Variances.PGREEN2","0.64***","[ 0.57,  0.70]","0.66***","[ 0.59,  0.73]",,
"174","Residual.Variances.RIVER","0.74***","[ 0.68,  0.80]","0.74***","[ 0.68,  0.81]",,
"175","Residual.Variances.LAKE","0.51***","[ 0.42,  0.60]","0.53***","[ 0.43,  0.62]",,
"176","Residual.Variances.BEACH","0.96***","[ 0.94,  0.99]","0.97***","[ 0.94,  0.99]",,
"177","Residual.Variances.TRAFFIC","0.79***","[ 0.76,  0.82]","0.78***","[ 0.74,  0.81]",,
"178","Residual.Variances.INSIDE","0.28***","[ 0.22,  0.35]","0.35***","[ 0.28,  0.42]",,
"179","Residual.Variances.OUTSIDE","0.39***","[ 0.34,  0.45]","0.42***","[ 0.35,  0.49]",,
"180","Residual.Variances.PHYS","0.96***","[ 0.94,  0.98]","0.94***","[ 0.91,  0.97]",,
"181","Residual.Variances.PSS","0.85***","[ 0.82,  0.88]","0.76***","[ 0.70,  0.83]",,
"182","Residual.Variances.PHQ","0.38***","[ 0.35,  0.42]","0.22***","[ 0.18,  0.25]",,
"433","Sum.of.indirect.PHQ.NOI","0.04","[-0.01,  0.09]","0.13**","[ 0.04,  0.22]",,
"434","Sum.of.indirect.PHQ.PLEA","0.00","[-0.07,  0.08]","0.15","[-0.02,  0.31]",,
"435","Sum.of.indirect.PHQ.SAFE","-0.14***","[-0.20, -0.09]","-0.14*","[-0.26, -0.02]",,
"436","Sum.of.indirect.PHQ.COH","-0.12***","[-0.17, -0.06]","-0.20***","[-0.30, -0.11]",,
"437","Sum.of.indirect.PHQ.GREEN","0.00","[-0.06,  0.07]","0.14","[-0.05,  0.33]",,
"438","Sum.of.indirect.PHQ.BLUE","-0.02","[-0.08,  0.04]","-0.09","[-0.28,  0.09]",,
"445","Specific.indirect.NOI.PSS.PHQ","0.04","[-0.01,  0.09]","0.14**","[ 0.05,  0.22]",,
"446","Specific.indirect.NOI.PHYS.PHQ","-0.00","[-0.01,  0.00]","-0.00","[-0.01,  0.00]",,
"447","Specific.indirect.PLEA.PSS.PHQ","0.00","[-0.07,  0.08]","0.15","[-0.01,  0.31]",,
"448","Specific.indirect.PLEA.PHYS.PHQ","-0.00","[-0.01,  0.00]","-0.00","[-0.00,  0.00]",,
"449","Specific.indirect.SAFE.PSS.PHQ","-0.15***","[-0.21, -0.09]","-0.14*","[-0.26, -0.02]",,
"450","Specific.indirect.SAFE.PHYS.PHQ","0.00","[-0.00,  0.01]","0.00","[-0.00,  0.01]",,
"451","Specific.indirect.COH.PSS.PHQ","-0.11***","[-0.17, -0.06]","-0.20***","[-0.30, -0.10]",,
"452","Specific.indirect.COH.PHYS.PHQ","-0.00","[-0.01,  0.00]","-0.00","[-0.01,  0.00]",,
"453","Specific.indirect.GREEN.PSS.PHQ","-0.00","[-0.07,  0.06]","0.14","[-0.05,  0.33]",,
"454","Specific.indirect.GREEN.PHYS.PHQ","0.00","[-0.00,  0.01]","0.00","[-0.00,  0.01]",,
"455","Specific.indirect.BLUE.PSS.PHQ","-0.02","[-0.08,  0.04]","-0.10","[-0.28,  0.09]",,
"456","Specific.indirect.BLUE.PHYS.PHQ","0.00","[-0.00,  0.01]","0.00","[-0.00,  0.00]",,
