"","Parameter","est_un","CI_un","est_emp","CI_emp","D_est","D_CI"
"67","PSS.ON.INC5","-0.06","[-0.14,  0.02]","-0.02","[-0.10,  0.05]","0.12","[-0.16,  0.39]"
"68","PSS.ON.HOUS2C","-0.03","[-0.10,  0.03]","-0.01","[-0.06,  0.04]","0.06","[-0.14,  0.26]"
"69","PSS.ON.HOUSSP","-0.01","[-0.08,  0.05]","-0.01","[-0.05,  0.03]","0.03","[-0.33,  0.38]"
"70","PSS.ON.HOUSO","-0.00","[-0.07,  0.07]","-0.05*","[-0.10, -0.01]","-0.15","[-0.40,  0.10]"
"71","PSS.ON.MARS","0.12**","[ 0.04,  0.20]","0.07**","[ 0.03,  0.12]","-0.15","[-0.50,  0.19]"
"72","PSS.ON.MARW","0.04","[-0.03,  0.12]","0.04","[-0.01,  0.09]","-0.03","[-0.89,  0.83]"
"73","PSS.ON.MARN","0.03","[-0.06,  0.12]","0.02","[-0.03,  0.07]","-0.01","[-0.23,  0.20]"
"74","PHYS.ON.NOI","0.07","[-0.01,  0.16]","0.03","[-0.03,  0.10]","-0.09","[-0.32,  0.15]"
"75","PHYS.ON.PLEA","0.04","[-0.09,  0.18]","-0.00","[-0.12,  0.11]","-0.10","[-0.50,  0.29]"
"76","PHYS.ON.SAFE","-0.07","[-0.17,  0.03]","-0.03","[-0.11,  0.06]","0.10","[-0.19,  0.39]"
"77","PHYS.ON.COH","0.08","[-0.02,  0.18]","0.08","[-0.00,  0.17]","0.00","[-0.28,  0.29]"
"78","PHYS.ON.GREEN","-0.08","[-0.21,  0.04]","-0.05","[-0.15,  0.05]","0.07","[-0.27,  0.41]"
"79","PHYS.ON.BLUE","-0.02","[-0.15,  0.10]","-0.02","[-0.12,  0.07]","0.00","[-0.34,  0.34]"
"80","PHYS.ON.DEP","-0.01","[-0.09,  0.07]","0.03","[-0.02,  0.08]","0.22","[-0.27,  0.72]"
"81","PHYS.ON.FRAG","0.05","[-0.03,  0.14]","0.08**","[ 0.02,  0.14]","0.03","[-0.05,  0.11]"
"82","PHYS.ON.AGE","0.13**","[ 0.04,  0.23]","0.12***","[ 0.06,  0.17]","0.00","[-0.01,  0.02]"
"83","PHYS.ON.URB","-0.06","[-0.14,  0.02]","-0.02","[-0.08,  0.03]","0.04","[-0.10,  0.19]"
"84","PHYS.ON.EDUM","0.01","[-0.08,  0.09]","-0.02","[-0.08,  0.04]","-0.13","[-0.58,  0.32]"
"85","PHYS.ON.EDUH","0.03","[-0.05,  0.11]","-0.07*","[-0.14, -0.00]","-0.46","[-0.94,  0.03]"
"86","PHYS.ON.INC2","-0.01","[-0.09,  0.07]","-0.05","[-0.12,  0.02]","-0.26","[-0.93,  0.42]"
"87","PHYS.ON.INC3","-0.04","[-0.11,  0.04]","-0.08","[-0.16,  0.00]","-0.20","[-0.82,  0.41]"
"88","PHYS.ON.INC4","0.02","[-0.06,  0.10]","-0.06","[-0.14,  0.02]","-0.45","[-1.06,  0.16]"
"89","PHYS.ON.INC5","0.02","[-0.05,  0.10]","-0.07","[-0.16,  0.01]","-0.48","[-1.06,  0.10]"
"90","PHYS.ON.HOUS2C","0.04","[-0.03,  0.11]","-0.01","[-0.06,  0.04]","-0.24","[-0.65,  0.17]"
"91","PHYS.ON.HOUSSP","-0.03","[-0.08,  0.03]","-0.01","[-0.06,  0.04]","0.14","[-0.52,  0.79]"
"92","PHYS.ON.HOUSO","0.02","[-0.05,  0.09]","-0.03","[-0.07,  0.02]","-0.27","[-0.73,  0.19]"
"93","PHYS.ON.MARS","-0.02","[-0.10,  0.06]","0.02","[-0.03,  0.07]","0.30","[-0.35,  0.96]"
"94","PHYS.ON.MARW","0.01","[-0.05,  0.08]","0.07**","[ 0.03,  0.11]","1.25","[-0.22,  2.73]"
"95","PHYS.ON.MARN","-0.02","[-0.11,  0.08]","0.03","[-0.03,  0.09]","0.20","[-0.28,  0.69]"
"96","PSS.WITH.PHYS","-0.08*","[-0.15, -0.01]","-0.03","[-0.08,  0.03]",,
"97","PLEA.WITH.COH","0.52***","[ 0.45,  0.60]","0.68***","[ 0.63,  0.73]",,
"98","SAFE.WITH.COH","0.39***","[ 0.33,  0.45]","0.47***","[ 0.42,  0.53]",,
"99","SAFE.WITH.PLEA","0.62***","[ 0.54,  0.70]","0.67***","[ 0.62,  0.72]",,
"100","GREEN.WITH.COH","-0.01","[-0.09,  0.08]","-0.18***","[-0.25, -0.11]",,
"101","GREEN.WITH.PLEA","-0.11*","[-0.21, -0.01]","-0.23***","[-0.31, -0.16]",,
"102","GREEN.WITH.SAFE","-0.10*","[-0.19, -0.01]","-0.19***","[-0.26, -0.11]",,
"103","BLUE.WITH.COH","-0.03","[-0.12,  0.06]","-0.06","[-0.13,  0.01]",,
"104","BLUE.WITH.PLEA","-0.08","[-0.18,  0.02]","-0.13**","[-0.21, -0.05]",,
"105","BLUE.WITH.SAFE","-0.08","[-0.17,  0.01]","-0.11**","[-0.18, -0.04]",,
"106","BLUE.WITH.GREEN","0.56***","[ 0.45,  0.67]","0.61***","[ 0.53,  0.69]",,
"107","NOI.WITH.COH","-0.46***","[-0.53, -0.40]","-0.46***","[-0.52, -0.41]",,
"108","NOI.WITH.PLEA","-0.43***","[-0.51, -0.36]","-0.49***","[-0.55, -0.44]",,
"109","NOI.WITH.SAFE","-0.34***","[-0.42, -0.27]","-0.40***","[-0.46, -0.34]",,
"110","NOI.WITH.GREEN","-0.00","[-0.09,  0.09]","0.12**","[ 0.04,  0.21]",,
"111","NOI.WITH.BLUE","0.04","[-0.06,  0.14]","0.08*","[ 0.01,  0.15]",,
"112","PPHQ4.WITH.PPHQ3","0.25***","[ 0.20,  0.30]","0.29***","[ 0.24,  0.34]",,
"113","Means.COH","0.00","","0.00","",,
"114","Means.PLEA","0.00","","0.00","",,
"115","Means.SAFE","0.00","","0.00","",,
"116","Means.GREEN","0.00","","0.00","",,
"117","Means.BLUE","0.00","","0.00","",,
"118","Means.NOI","0.00","","0.00","",,
"119","Intercepts.PCOH1","4.48***","[ 4.29,  4.66]","4.50***","[ 4.33,  4.67]",,
"120","Intercepts.PCOH2","5.03***","[ 4.83,  5.23]","5.09***","[ 4.91,  5.26]",,
"121","Intercepts.PCOH3","4.73***","[ 4.50,  4.95]","5.03***","[ 4.83,  5.23]",,
"122","Intercepts.PPSS1","2.44***","[ 2.23,  2.65]","2.52***","[ 2.31,  2.72]",,
"123","Intercepts.PPSS2","2.58***","[ 2.36,  2.80]","2.72***","[ 2.51,  2.94]",,
"124","Intercepts.PPSS3","2.89***","[ 2.67,  3.11]","3.04***","[ 2.82,  3.26]",,
"125","Intercepts.PPSS4","3.19***","[ 2.96,  3.42]","3.29***","[ 3.06,  3.51]",,
"126","Intercepts.PPSS5","2.00***","[ 1.80,  2.21]","2.10***","[ 1.89,  2.30]",,
"127","Intercepts.PPHQ1","0.90***","[ 0.71,  1.10]","1.21***","[ 0.95,  1.46]",,
"128","Intercepts.PPHQ2","0.92***","[ 0.72,  1.12]","1.18***","[ 0.93,  1.42]",,
"129","Intercepts.PPHQ3","1.50***","[ 1.32,  1.68]","1.76***","[ 1.56,  1.96]",,
"130","Intercepts.PPHQ4","1.13***","[ 0.95,  1.32]","1.35***","[ 1.14,  1.57]",,
"131","Intercepts.PPHQ5","1.16***","[ 0.98,  1.34]","1.36***","[ 1.16,  1.56]",,
"132","Intercepts.PPLEA1","5.46***","[ 5.19,  5.74]","5.64***","[ 5.43,  5.85]",,
"133","Intercepts.PPLEA2","4.96***","[ 4.74,  5.18]","4.88***","[ 4.69,  5.08]",,
"134","Intercepts.PSAFE1","4.85***","[ 4.68,  5.03]","4.85***","[ 4.69,  5.01]",,
"135","Intercepts.PSAFE2","5.24***","[ 5.03,  5.45]","5.48***","[ 5.28,  5.68]",,
"136","Intercepts.PSAFE3","5.47***","[ 5.21,  5.74]","5.54***","[ 5.29,  5.78]",,
"137","Intercepts.PGREEN1","3.47***","[ 3.32,  3.62]","3.56***","[ 3.42,  3.69]",,
"138","Intercepts.PGREEN2","2.88***","[ 2.76,  3.00]","2.94***","[ 2.86,  3.02]",,
"139","Intercepts.RIVER","2.74***","[ 2.63,  2.85]","2.73***","[ 2.64,  2.83]",,
"140","Intercepts.LAKE","2.75***","[ 2.64,  2.86]","2.80***","[ 2.71,  2.90]",,
"141","Intercepts.BEACH","7.17***","[ 6.14,  8.21]","7.39***","[ 6.52,  8.27]",,
"142","Intercepts.TRAFFIC","2.87***","[ 2.77,  2.97]","2.81***","[ 2.73,  2.89]",,
"143","Intercepts.INSIDE","2.15***","[ 2.07,  2.23]","2.23***","[ 2.16,  2.29]",,
"144","Intercepts.OUTSIDE","2.41***","[ 2.33,  2.49]","2.43***","[ 2.36,  2.49]",,
"145","Intercepts.PHYS","2.21***","[ 1.78,  2.65]","2.00***","[ 1.64,  2.35]",,
"146","Intercepts.PSS","0.00","","0.00","",,
"147","Intercepts.PHQ","0.00","","0.00","",,
"148","Variances.COH","1.00","","1.00","",,
"149","Variances.PLEA","1.00","","1.00","",,
"150","Variances.SAFE","1.00","","1.00","",,
"151","Variances.GREEN","1.00","","1.00","",,
"152","Variances.BLUE","1.00","","1.00","",,
"153","Variances.NOI","1.00","","1.00","",,
"154","Residual.Variances.PCOH1","0.32***","[ 0.27,  0.36]","0.31***","[ 0.27,  0.35]",,
"155","Residual.Variances.PCOH2","0.26***","[ 0.21,  0.30]","0.24***","[ 0.20,  0.28]",,
"156","Residual.Variances.PCOH3","0.54***","[ 0.50,  0.59]","0.48***","[ 0.44,  0.52]",,
"157","Residual.Variances.PPSS1","0.34***","[ 0.30,  0.37]","0.35***","[ 0.32,  0.38]",,
"158","Residual.Variances.PPSS2","0.33***","[ 0.29,  0.37]","0.32***","[ 0.28,  0.35]",,
"159","Residual.Variances.PPSS3","0.35***","[ 0.31,  0.38]","0.34***","[ 0.31,  0.37]",,
"160","Residual.Variances.PPSS4","0.28***","[ 0.25,  0.31]","0.30***","[ 0.27,  0.32]",,
"161","Residual.Variances.PPSS5","0.37***","[ 0.33,  0.41]","0.37***","[ 0.34,  0.40]",,
"162","Residual.Variances.PPHQ1","0.34***","[ 0.29,  0.39]","0.28***","[ 0.25,  0.32]",,
"163","Residual.Variances.PPHQ2","0.33***","[ 0.28,  0.38]","0.33***","[ 0.29,  0.37]",,
"164","Residual.Variances.PPHQ3","0.46***","[ 0.42,  0.50]","0.54***","[ 0.50,  0.59]",,
"165","Residual.Variances.PPHQ4","0.40***","[ 0.36,  0.44]","0.48***","[ 0.43,  0.53]",,
"166","Residual.Variances.PPHQ5","0.48***","[ 0.43,  0.53]","0.56***","[ 0.51,  0.62]",,
"167","Residual.Variances.PPLEA1","0.69***","[ 0.64,  0.73]","0.67***","[ 0.62,  0.71]",,
"168","Residual.Variances.PPLEA2","0.35***","[ 0.29,  0.41]","0.37***","[ 0.31,  0.43]",,
"169","Residual.Variances.PSAFE1","0.28***","[ 0.23,  0.33]","0.28***","[ 0.24,  0.32]",,
"170","Residual.Variances.PSAFE2","0.48***","[ 0.44,  0.53]","0.44***","[ 0.39,  0.48]",,
"171","Residual.Variances.PSAFE3","0.50***","[ 0.45,  0.55]","0.49***","[ 0.44,  0.54]",,
"172","Residual.Variances.PGREEN1","0.56***","[ 0.48,  0.64]","0.53***","[ 0.45,  0.61]",,
"173","Residual.Variances.PGREEN2","0.65***","[ 0.58,  0.72]","0.64***","[ 0.58,  0.70]",,
"174","Residual.Variances.RIVER","0.74***","[ 0.68,  0.80]","0.74***","[ 0.68,  0.80]",,
"175","Residual.Variances.LAKE","0.53***","[ 0.43,  0.62]","0.51***","[ 0.42,  0.60]",,
"176","Residual.Variances.BEACH","0.96***","[ 0.94,  0.99]","0.96***","[ 0.94,  0.99]",,
"177","Residual.Variances.TRAFFIC","0.78***","[ 0.75,  0.81]","0.79***","[ 0.75,  0.82]",,
"178","Residual.Variances.INSIDE","0.34***","[ 0.26,  0.41]","0.29***","[ 0.22,  0.35]",,
"179","Residual.Variances.OUTSIDE","0.40***","[ 0.34,  0.47]","0.40***","[ 0.34,  0.45]",,
"180","Residual.Variances.PHYS","0.95***","[ 0.92,  0.98]","0.96***","[ 0.94,  0.98]",,
"181","Residual.Variances.PSS","0.78***","[ 0.72,  0.83]","0.85***","[ 0.81,  0.88]",,
"182","Residual.Variances.PHQ","0.23***","[ 0.20,  0.27]","0.38***","[ 0.34,  0.42]",,
"433","Sum.of.indirect.PHQ.NOI","0.11*","[ 0.03,  0.19]","0.05*","[ 0.00,  0.10]",,
"434","Sum.of.indirect.PHQ.PLEA","0.14","[-0.01,  0.28]","0.00","[-0.08,  0.08]",,
"435","Sum.of.indirect.PHQ.SAFE","-0.13*","[-0.23, -0.02]","-0.14***","[-0.20, -0.09]",,
"436","Sum.of.indirect.PHQ.COH","-0.21***","[-0.30, -0.12]","-0.11***","[-0.17, -0.05]",,
"437","Sum.of.indirect.PHQ.GREEN","0.12","[-0.03,  0.28]","0.00","[-0.06,  0.07]",,
"438","Sum.of.indirect.PHQ.BLUE","-0.07","[-0.22,  0.09]","-0.02","[-0.08,  0.04]",,
"445","Specific.indirect.NOI.PSS.PHQ","0.11**","[ 0.03,  0.19]","0.05*","[ 0.00,  0.10]",,
"446","Specific.indirect.NOI.PHYS.PHQ","-0.00","[-0.01,  0.00]","-0.00","[-0.01,  0.00]",,
"447","Specific.indirect.PLEA.PSS.PHQ","0.14","[-0.00,  0.28]","0.00","[-0.07,  0.07]",,
"448","Specific.indirect.PLEA.PHYS.PHQ","-0.00","[-0.01,  0.00]","0.00","[-0.01,  0.01]",,
"449","Specific.indirect.SAFE.PSS.PHQ","-0.13*","[-0.24, -0.02]","-0.15***","[-0.21, -0.09]",,
"450","Specific.indirect.SAFE.PHYS.PHQ","0.00","[-0.00,  0.01]","0.00","[-0.00,  0.01]",,
"451","Specific.indirect.COH.PSS.PHQ","-0.21***","[-0.30, -0.12]","-0.10***","[-0.16, -0.05]",,
"452","Specific.indirect.COH.PHYS.PHQ","-0.00","[-0.01,  0.00]","-0.00","[-0.01,  0.00]",,
"453","Specific.indirect.GREEN.PSS.PHQ","0.12","[-0.03,  0.27]","-0.00","[-0.07,  0.06]",,
"454","Specific.indirect.GREEN.PHYS.PHQ","0.00","[-0.00,  0.01]","0.00","[-0.00,  0.01]",,
"455","Specific.indirect.BLUE.PSS.PHQ","-0.07","[-0.22,  0.09]","-0.02","[-0.08,  0.04]",,
"456","Specific.indirect.BLUE.PHYS.PHQ","0.00","[-0.00,  0.01]","0.00","[-0.00,  0.01]",,
